ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:44:00,15.05,15.05,15.0,15.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:45:00,14.7,15.0,14.7,15.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:46:00,15.4,16.0,15.2,16.0,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:47:00,16.35,16.4,14.85,15.35,2250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:48:00,15.0,15.2,13.7,15.2,3000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:49:00,14.95,15.0,14.0,15.0,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:50:00,15.0,15.0,15.0,15.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:53:00,15.5,15.5,15.5,15.5,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:54:00,15.5,15.5,15.15,15.15,2750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:58:00,15.6,15.6,15.6,15.6,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 11:59:00,15.6,15.6,15.6,15.6,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:01:00,16.4,16.4,15.9,15.9,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:04:00,15.55,15.55,15.55,15.55,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:05:00,15.4,15.4,15.4,15.4,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:06:00,15.3,15.3,15.0,15.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:07:00,15.0,15.0,15.0,15.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:10:00,13.5,13.5,13.5,13.5,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:11:00,13.55,13.65,13.55,13.65,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:12:00,13.55,13.55,13.55,13.55,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:13:00,13.6,13.6,13.6,13.6,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:14:00,13.4,13.4,13.4,13.4,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:16:00,13.85,14.0,13.85,14.0,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:17:00,13.0,13.0,13.0,13.0,3750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:18:00,13.2,13.2,13.2,13.2,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:19:00,12.5,13.0,12.0,13.0,7000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:20:00,12.95,12.95,12.45,12.45,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:21:00,12.15,12.5,12.15,12.5,1500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:22:00,12.6,12.6,12.6,12.6,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:23:00,12.0,12.0,11.5,11.6,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:24:00,11.15,12.0,11.15,12.0,3750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:25:00,12.0,12.0,11.9,11.9,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:26:00,12.0,12.0,12.0,12.0,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:27:00,12.0,12.15,12.0,12.15,4500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:28:00,12.75,12.75,12.75,12.75,2250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:29:00,12.75,12.8,12.75,12.8,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:30:00,12.6,12.6,12.6,12.6,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:32:00,12.75,12.75,12.3,12.3,2000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:33:00,12.0,12.0,12.0,12.0,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:34:00,12.15,12.25,11.9,11.9,2750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:35:00,12.05,12.15,11.65,11.75,7250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:36:00,11.85,11.85,11.85,11.85,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:37:00,11.65,12.0,11.65,12.0,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:38:00,12.25,12.25,12.2,12.2,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:39:00,12.75,12.85,12.75,12.85,2000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:40:00,13.0,13.0,13.0,13.0,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:41:00,13.2,13.2,13.15,13.2,2000
