ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:10:00,9.7,10.0,9.7,10.0,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:11:00,10.0,10.0,9.95,9.95,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:12:00,9.95,9.95,9.95,9.95,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:13:00,8.8,8.8,8.8,8.8,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:14:00,8.8,11.2,8.8,11.2,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:15:00,11.2,12.95,11.2,12.4,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:16:00,12.4,12.4,12.4,12.4,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:17:00,12.15,12.15,12.15,12.15,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:18:00,12.15,12.15,12.15,12.15,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:19:00,12.15,12.15,12.15,12.15,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:20:00,12.15,12.15,11.5,11.5,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:21:00,11.5,11.5,11.5,11.5,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:22:00,11.5,11.5,10.05,10.05,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:23:00,10.05,10.05,10.05,10.05,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:24:00,10.05,10.05,10.05,10.05,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:25:00,10.05,10.9,10.05,10.9,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:26:00,10.9,10.9,10.85,10.85,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:27:00,10.85,10.85,10.85,10.85,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:28:00,10.85,10.85,10.85,10.85,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:29:00,11.65,12.0,11.65,12.0,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:30:00,12.0,12.0,10.15,10.15,1800
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:31:00,10.05,10.05,10.05,10.05,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:32:00,10.05,10.05,10.05,10.05,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:33:00,10.05,10.05,9.15,9.3,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:34:00,9.3,9.3,9.3,9.3,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:35:00,8.65,9.0,8.55,9.0,3900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:36:00,9.4,9.4,9.2,9.2,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:37:00,9.2,9.2,9.05,9.05,0
